tmax,Tiempo en nanosegundos
1,5905868
1,5460371
1,4695339
1,4417607
1,4393905
1,4355021
1,4214669
1,4222146
1,4239566
1,4160202
1,4066765
1,4067564
1,4010712
1,3921334
1,3923506
1,3867019
1,3790559
1,3783814
1,3758231
1,3558474
1,3082671
1,3290678
1,4330863
1,3540241
1,3374588
1,3142443
1,3053873
1,3050811
1,3442348
1,3266959
1,3145550
1,3075274
1,3043448
1,3044223
1,3040077
1,3082460
1,3035450
1,3037018
1,3041788
1,3084847
1,3055006
1,3043174
1,3036699
1,3039853
1,3039772
1,3031832
1,3038477
1,3306367
1,3062377
1,3070231
1,3080017
1,3099259
1,3070589
1,3088930
1,4040307
1,3502108
1,3292904
1,3164985
1,3107756
1,3090346
1,3124965
1,3341181
1,3177006
1,3116620
1,3046819
1,3047621
1,3081285
1,3037508
1,3060591
1,3026896
1,3033668
1,3047439
1,3036731
1,3030433
1,3042625
1,3038474
1,3041043
1,3033289
1,3058005
1,3062132
1,3311386
1,3086159
1,3141027
1,3440419
1,3131946
1,3080307
1,3100658
1,3048348
1,3082135
1,3200718
1,3205653
1,3048288
1,3077819
1,3135746
1,3073060
1,3086731
1,3328134
1,3203324
1,3096951
1,3205415
1,3220197
1,3099520
1,3094650
1,3071741
1,3076862
1,3049307
1,3077867
1,3128655
1,3077913
1,3046110
1,3213537
1,3190715
1,3319195
1,3159118
1,3097318
1,3082767
1,3121507
1,3080718
1,3084519
1,3045173
1,3185674
1,3183358
1,3090029
1,3173196
1,3225075
1,3101291
1,3070493
1,3107475
1,3084862
1,3060438
1,3117047
1,3073046
1,3045202
1,3054153
1,3073618
1,3070804
1,3094093
1,3047935
1,3075099
1,3213692
1,3089561
1,3178259
1,3204227
1,3156102
1,3123077
1,3114686
1,3105485
1,3103580
1,3086192
1,3039396
1,3245716
1,3242773
1,3135472
1,3101284
1,3155340
1,3047993
1,3083804
1,3074254
1,3071736
1,3049516
1,3101687
1,3112064
1,3070833
1,3076500
1,3044657
1,3076210
1,3178906
1,3080700
1,3050112
1,3065172
1,3074468
1,3058765
1,3060543
1,3048016
1,3212128
1,3109538
1,3104270
1,3085577
1,3085738
1,3302114
1,3087770
1,3077465
1,3046173
1,3078024
1,3077855
1,3078944
1,3046269
1,3061933
1,3062300
1,3055683
1,3057038
1,3277636
1,3328923
1,3185382
1,3082566
1,3037883
1,3090373
1,3077961
1,3111890
1,3187472
1,3211970
1,3187748
1,3209776
1,3076387
1,3048156
1,3082546
1,3079291
1,3071089
1,3092261
1,3160629
1,3072895
1,3074331
1,3108042
1,3206354
1,3114380
1,3179941
1,3219784
1,3073068
1,3049285
1,3073146
1,3073984
1,3078477
1,3044340
1,3070510
1,3078675
1,3196708
1,3080600
1,3073381
1,3073132
1,3144299
1,3203588
1,3178987
1,3207059
1,3132725
1,3071198
1,3076150
1,3050325
1,3118503
1,3074521
1,3079896
1,3037916
1,3159206
1,3100707
1,3180970
1,3074019
1,3254713
1,3074470
1,3081220
1,3074278
1,3172010
1,3066482
1,3074849
1,3072635
1,3078265
1,3045017
1,3086200
1,3121009
1,3116884
1,3044273
1,3066776
1,3060824
1,3055626
1,3028323
1,3060557
1,3034341
1,3040889
1,3154603
1,3136972
1,3176069
1,3075022
1,3077166
1,3064228
1,3092095
1,3116689
1,3097435
1,3033107
1,3041211
1,3039142
1,3069679
1,3197044
1,3098509
1,3106885
1,3087778
1,3077261
1,3045244
1,3072702
1,3115143
1,3055757
1,3098974
1,3345819
1,3187152
1,3047982
1,3041388
1,3034401
1,3041454
1,3041140
1,3041692
1,3032852
1,3064020
1,3040264
1,3039809
1,3134812
1,3033867
1,3129299
1,3157966
1,3078722
1,3090531
1,3059324
1,3072390
1,3077322
1,3054670
1,3062575
1,3066617
1,3044037
1,3062675
1,3035069
1,3211607
1,3203649
1,3075500
1,3179272
1,3116977
1,3088870
1,3118130
1,3070852
1,3046682
1,3073899
1,3076495
1,3075047
1,3058204
1,3085071
1,3067342
1,3042114
1,3033293
1,3149751
1,3149762
1,3090526
1,3115453
1,3052225
1,3151900
1,3042710
1,3043363
1,3031171
1,3037159
1,3040149
1,3037950
1,3285481
1,3087201
1,3122619
1,3130257
1,3089580
1,3045479
1,3066282
1,3093189
1,3061253
1,3091629
1,3075439
1,3185823
1,3201901
1,3205027
1,3175854
1,3077872
1,3073721
1,3074302
1,3055647
1,3050576
1,3069432
1,3075366
1,3066892
1,3104106
1,3076141
1,3077726
1,3094850
1,3187981
1,3369499
1,3126431
1,3114898
1,3107800
1,3077697
1,3042003
1,3044826
1,3041787
1,3121938
1,3091734
1,3137459
1,3179997
1,3084469
1,3049164
1,3227720
1,3179369
1,3200189
1,3109755
1,3049976
1,3062653
1,3116755
1,3075543
1,3046623
1,3077689
1,3090656
1,3058063
1,3044793
1,3109566
1,3049954
1,3100695
1,3131475
1,3046723
1,3083728
1,3078214
1,3068165
1,3232867
1,3170890
1,3245810
1,3076377
1,3072279
1,3048797
1,3069990
1,3078909
1,3409431
1,3237878
1,3183296
1,3224533
1,3081126
1,3073708
1,3049481
1,3057848
1,3075372
1,3085703
1,3063634
1,3056489
1,3095581
1,3063314
1,3042358
1,3168238
1,3116564
1,3064546
1,3078522
1,3045255
1,3094662
1,3263894
1,3215169
1,3107310
1,3047342
1,3074096
1,3071712
1,3098526
1,3043713
1,3057059
1,3076040
1,3117322
1,3084648
1,3077330
1,3043761
1,3045999
1,3082855
1,3033979
1,3276400
1,3261031
1,3231412
1,3080978
1,3044110
1,3073941
1,3077997
1,3075038
1,3048814
1,3103957
1,3079039
1,3086335
1,3191645
1,3085055
1,3104997
1,3066134
1,3063196
1,3038973
1,3065796
1,3049420
1,3047149
1,3238067
1,3136428
1,3121460
1,3112558
1,3109960
1,3046380
1,3063620
1,3049409
1,3044740
1,3189994
1,3068604
1,3041707
1,3040862
1,3208847
1,3095014
1,3127066
1,3088595
1,3086836
1,3036060
1,3039909
1,3100725
1,3036128
1,3030471
1,3040909
1,3270925
2,2717100
2,2461367
2,2477095
2,2719550
2,2810758
2,2612633
2,2564084
2,2545493
2,2490235
2,2552993
2,2531690
2,2631891
2,2557265
2,2481305
2,2507686
2,2493431
2,2461965
2,2449809
2,2619794
2,2608695
2,2541551
2,2569302
2,2506091
2,2534168
2,2515900
2,2497290
2,2468533
2,2426236
2,2527238
2,2399631
2,2463257
2,2494573
2,2602012
2,2547306
2,2542347
2,2480382
2,2613740
2,2471360
2,2484651
2,3312496
2,2511942
2,2515543
2,2515211
2,2504011
2,2495695
2,2513325
2,2524708
2,2540190
2,2504821
2,2438966
2,2463420
2,2478407
2,2525550
2,2459162
2,2424162
2,2509437
2,2529621
2,2449079
2,2496376
2,2483510
2,2546394
2,2482879
2,2410144
2,2491356
2,2448836
2,2501412
2,2430632
2,2503013
2,2511152
2,2436162
2,2469973
2,2509461
2,2483582
2,2480530
2,2472046
2,2473813
2,2467082
2,2479599
2,2435794
2,2533246
2,2594486
2,2667208
2,2521539
2,2525192
2,2561626
2,2530334
2,2519998
2,2540616
2,2581709
2,2509375
2,2525370
2,2562721
2,2479060
2,2552406
2,2557686
2,2566668
2,2714224
2,2497154
2,2633134
2,2574108
2,2609068
2,2598816
2,2455896
2,2575593
2,2493309
2,2506228
2,2462677
2,2562930
2,2535363
2,2537756
2,2621522
2,2498412
2,2621747
2,2507657
2,2543309
2,2490969
2,2640190
2,2553931
2,2522242
2,2503185
2,2530827
2,2521102
2,2427267
2,2509932
2,2516198
2,2452432
2,2504756
2,2554982
2,2549431
2,2494309
2,2517855
2,2501532
2,2504075
2,2538010
2,2490147
2,2470086
2,2495989
2,2495114
2,2593195
2,2599229
2,2513890
2,2518579
2,2548574
2,2526190
2,2505068
2,2554823
2,2585463
2,2534522
2,2605098
2,2584647
2,2585550
2,2449278
2,2443515
2,2484725
2,2530286
2,2551049
2,2533854
2,2407917
2,2603940
2,2602467
2,2605716
2,2509994
2,2618086
2,2500878
2,2542477
2,2503407
2,2519150
2,2485384
2,2544473
2,2494636
2,2424943
2,2494371
2,2564460
2,2513876
2,2489029
2,2526917
2,2514953
2,2454786
2,2438239
2,2524134
2,2478870
2,2430543
2,2472349
2,2463272
2,2453184
2,2417123
2,2484649
2,2457126
2,2642267
2,2527141
2,2541892
2,2523726
2,2481408
2,2496032
2,2485506
2,2495744
2,2569322
2,2511675
2,2476082
2,2556012
2,2525565
2,2484881
2,2473110
2,2529829
2,2493847
2,2530720
2,2529066
2,2557231
2,2573750
2,2523265
2,2592313
2,2541153
2,2558931
2,2484987
2,3294560
2,2530425
2,2603714
2,2486853
2,2503796
2,2550440
2,2549129
2,2541131
2,2478454
2,2634821
2,2566608
2,2566321
2,2616048
2,2555458
2,2420039
2,2523347
2,2487558
2,2594563
2,2632663
2,2504294
2,2514318
2,2563437
2,2535776
2,3199874
2,2581436
2,2626844
2,2621767
2,2535084
2,2553144
2,2548160
2,2611586
2,2503564
2,2591711
2,2551238
2,2497639
2,2500320
2,2535628
2,2508417
2,2520927
2,2497966
2,2476286
2,2647094
2,2494296
2,2466768
2,2488443
2,2523660
2,2567359
2,2570420
2,2539227
2,2560528
2,2614847
2,2618422
2,2460693
2,2452320
2,2532856
2,2593499
2,2495285
2,2493049
2,2569519
2,2558230
2,2639016
2,2472369
2,2494153
2,2511487
2,2620226
2,2595109
2,2618288
2,2522422
2,2574490
2,2529614
2,2580659
2,2651389
2,2483861
2,2469613
2,2602405
2,2674074
2,2505631
2,2656576
2,2490576
2,2510354
2,2506359
2,2577880
2,2522620
2,2527822
2,2547283
2,2494094
2,2490666
2,2514411
2,2563790
2,2652476
2,2504466
2,2452126
2,2502098
2,2490066
2,2477302
2,2561441
2,2498712
2,2623593
2,2528938
2,2524156
2,2556894
2,2531485
2,2407392
2,2768424
2,2421791
2,2600942
2,2515725
2,2462815
2,2440157
2,2495702
2,2448548
2,2448384
2,2477672
2,2488689
2,2515187
2,2540998
2,2485322
2,2512029
2,2467129
2,2548037
2,2435891
2,2409748
2,2604460
2,2535201
2,2561226
2,2546868
2,2506479
