tarch,tmax,count_words concurrente,Tiempo en nanosegundos
1,1,No,5968373
1,1,No,6635368
1,1,No,6103080
1,1,No,5489221
1,1,No,5502749
1,1,No,5640524
1,1,No,5466127
1,1,No,5423347
1,1,No,5658275
1,1,No,5498599
1,1,No,5820601
1,1,No,6572493
1,1,No,5844438
1,1,No,6158958
1,1,No,6963909
1,1,No,10326508
1,1,No,6925195
1,1,No,5710818
1,1,No,6805419
1,1,No,6086647
1,1,No,5542011
1,1,No,6585003
1,1,No,5510330
1,1,No,5535449
1,1,No,6380285
1,1,No,6327750
1,1,No,5905213
1,1,No,7438429
1,1,No,7318637
1,1,No,7479771
1,1,No,7195528
1,1,No,12649970
1,1,No,7482568
1,1,No,6418134
1,1,No,6706974
1,1,No,6406245
1,1,No,5482830
1,1,No,5734791
1,1,No,7054711
1,1,No,7065277
1,1,No,8441992
1,1,No,5505208
1,1,No,5975372
1,1,No,6384371
1,1,No,5523250
1,1,No,8003357
1,1,No,5567529
1,1,No,5293503
1,1,No,6539116
1,1,No,5463831
1,1,Sí,4140092
1,1,Sí,4184538
1,1,Sí,4247491
1,1,Sí,4427143
1,1,Sí,5105383
1,1,Sí,5082868
1,1,Sí,5298168
1,1,Sí,5259057
1,1,Sí,6932863
1,1,Sí,5837412
1,1,Sí,5936065
1,1,Sí,6377174
1,1,Sí,6136569
1,1,Sí,4235941
1,1,Sí,4031885
1,1,Sí,3995611
1,1,Sí,5058224
1,1,Sí,5705395
1,1,Sí,5331766
1,1,Sí,5272096
1,1,Sí,5905303
1,1,Sí,5952903
1,1,Sí,6249937
1,1,Sí,6111898
1,1,Sí,6384495
1,1,Sí,6508788
1,1,Sí,6264962
1,1,Sí,6141599
1,1,Sí,5311994
1,1,Sí,5543032
1,1,Sí,6165755
1,1,Sí,6185423
1,1,Sí,5814529
1,1,Sí,5541431
1,1,Sí,5672622
1,1,Sí,6380407
1,1,Sí,6165241
1,1,Sí,6401200
1,1,Sí,6464759
1,1,Sí,6819093
1,1,Sí,6173087
1,1,Sí,5281875
1,1,Sí,5707712
1,1,Sí,6282586
1,1,Sí,6139744
1,1,Sí,6320611
1,1,Sí,5693750
1,1,Sí,4026720
1,1,Sí,4090802
1,1,Sí,5390603
1,2,No,5296072
1,2,No,5099303
1,2,No,7220771
1,2,No,4511906
1,2,No,4524005
1,2,No,6498331
1,2,No,4781840
1,2,No,4254590
1,2,No,4809496
1,2,No,5103924
1,2,No,6179183
1,2,No,7558306
1,2,No,13907823
1,2,No,6312180
1,2,No,5556458
1,2,No,5582370
1,2,No,8816847
1,2,No,7967525
1,2,No,6754082
1,2,No,7637455
1,2,No,6440862
1,2,No,7267088
1,2,No,7108557
1,2,No,5912690
1,2,No,5833516
1,2,No,5169316
1,2,No,5786559
1,2,No,4672802
1,2,No,5492508
1,2,No,5407911
1,2,No,4863303
1,2,No,5518634
1,2,No,5113556
1,2,No,5470466
1,2,No,9530294
1,2,No,5485090
1,2,No,7979446
1,2,No,5550275
1,2,No,7280574
1,2,No,8521449
1,2,No,6158216
1,2,No,8171809
1,2,No,5537737
1,2,No,7535916
1,2,No,5774316
1,2,No,6516782
1,2,No,6321143
1,2,No,6288320
1,2,No,5710741
1,2,No,6459461
1,2,Sí,4252985
1,2,Sí,4273721
1,2,Sí,4378057
1,2,Sí,4191093
1,2,Sí,4239783
1,2,Sí,4134616
1,2,Sí,4321267
1,2,Sí,4148033
1,2,Sí,4175160
1,2,Sí,4170156
1,2,Sí,4328297
1,2,Sí,4141095
1,2,Sí,4185329
1,2,Sí,4131302
1,2,Sí,4293474
1,2,Sí,4233066
1,2,Sí,4155144
1,2,Sí,4160615
1,2,Sí,4321328
1,2,Sí,4157552
1,2,Sí,4151405
1,2,Sí,4139717
1,2,Sí,4320928
1,2,Sí,4197628
1,2,Sí,4143106
1,2,Sí,4133426
1,2,Sí,4324579
1,2,Sí,4159936
1,2,Sí,4204282
1,2,Sí,4178944
1,2,Sí,4385315
1,2,Sí,4173080
1,2,Sí,4182925
1,2,Sí,4175933
1,2,Sí,4416330
1,2,Sí,4603242
